Tag,Candidate Count,Eligible Candidate Percentage
wine_bar,294,20.21
cafe,117,8.04
bistro,38,2.61
bakery,19,1.31
ramen,6,0.41
sushi,6,0.41
pizza,4,0.27
french,1,0.07
italian,1,0.07
