Severity,Issue Type,Sheet Row Number,Name,Arrondissement,Google Place ID,Field,Value,Affected Sheet Rows,Details
INFO,selected_missing_features,1497,Dame Augustine,13,ChIJ75Si4fdx5kcR9y7ygtTd-dk,Features,,,Selected row has a blank Features; informational only.
INFO,selected_missing_cuisine,1499,Fleurs de Mai,13,ChIJQ7SDCYdx5kcRy1kiOkRyxeI,Cuisine,,,Selected row has a blank Cuisine; informational only.
INFO,selected_missing_vibe,1499,Fleurs de Mai,13,ChIJQ7SDCYdx5kcRy1kiOkRyxeI,Vibe,,,Selected row has a blank Vibe; informational only.
INFO,selected_missing_features,1499,Fleurs de Mai,13,ChIJQ7SDCYdx5kcRy1kiOkRyxeI,Features,,,Selected row has a blank Features; informational only.
INFO,selected_missing_cuisine,1500,Impérial Choisy 美丽都,13,ChIJH7bObodx5kcRZvKndkGRXQo,Cuisine,,,Selected row has a blank Cuisine; informational only.
INFO,selected_missing_vibe,1500,Impérial Choisy 美丽都,13,ChIJH7bObodx5kcRZvKndkGRXQo,Vibe,,,Selected row has a blank Vibe; informational only.
INFO,selected_missing_features,1500,Impérial Choisy 美丽都,13,ChIJH7bObodx5kcRZvKndkGRXQo,Features,,,Selected row has a blank Features; informational only.
INFO,selected_missing_cuisine,1501,L'Hommage,13,ChIJDzdubodx5kcRsW4IdxJzRA0,Cuisine,,,Selected row has a blank Cuisine; informational only.
INFO,selected_missing_vibe,1501,L'Hommage,13,ChIJDzdubodx5kcRsW4IdxJzRA0,Vibe,,,Selected row has a blank Vibe; informational only.
INFO,selected_missing_features,1501,L'Hommage,13,ChIJDzdubodx5kcRsW4IdxJzRA0,Features,,,Selected row has a blank Features; informational only.
INFO,selected_missing_cuisine,1530,La Taverne de Zhao,14,ChIJTxzcA9Nx5kcRJyR_2DjInGY,Cuisine,,,Selected row has a blank Cuisine; informational only.
INFO,selected_missing_vibe,1530,La Taverne de Zhao,14,ChIJTxzcA9Nx5kcRJyR_2DjInGY,Vibe,,,Selected row has a blank Vibe; informational only.
INFO,selected_missing_features,1530,La Taverne de Zhao,14,ChIJTxzcA9Nx5kcRJyR_2DjInGY,Features,,,Selected row has a blank Features; informational only.
INFO,selected_missing_features,1531,Maison Edgar,14,ChIJp_sg6oVx5kcRIPvHJVhrHoo,Features,,,Selected row has a blank Features; informational only.
INFO,selected_missing_cuisine,1532,L’EMPREINTE,14,ChIJEcUSM7dx5kcRo3kHqPKmfao,Cuisine,,,Selected row has a blank Cuisine; informational only.
