Arrondissement,Eligible Rows,Favorite Eligible Rows,Deficit or Surplus,Questionable-Location Rows
1,84,0,69,0
2,128,0,113,0
3,73,0,58,0
4,34,0,19,0
5,67,0,52,0
6,97,0,82,0
7,77,0,62,0
8,87,0,72,0
9,120,0,105,0
10,112,0,97,0
11,146,0,131,0
12,39,0,24,0
13,30,0,15,0
14,52,0,37,0
15,62,0,47,0
16,43,0,28,0
17,83,0,68,0
18,68,0,53,0
19,23,0,8,0
20,30,0,15,0
