Sheet Row Number,Name,Arrondissement,Favorite,Cuisine,Vibe,Features,Address,Postal Code,Website,Google Place ID,Latitude,Longitude
1789,Caves Pétrissans,17,,wine_bar,casual,,"30 bis Av. Niel, 75017 Paris, France",75017,"https://www.cavespetrissans.fr/fr,1,13688.html",ChIJ31BAi5Nv5kcRcdw5fTkEJC8,48.881323,2.295819
1308,Charbon,17,,,,,"12 Rue Bayen, 75017 Paris, France",75017,https://www.lecafecharbon.fr/,ChIJ0R7dNbhv5kcRlcaxHAvmOuA,48.8795095,2.2951109
1884,Chez Bertrand Bistrot,17,,bistro,"casual, classic",,"99 Av. des Ternes, 75017 Paris, France",75017,https://www.restaurantsparisiens.com/chez-bertrand/en/home-page-en,ChIJowHqFIdv5kcRMvfYEHbPEog,48.8803998,2.2857079
1790,"Chez Fred, depuis 1945",17,,,,,"190 bis Bd Pereire, 75017 Paris, France",75017,https://www.chezfreddepuis1945.com/,ChIJn9AJVKNv5kcReD66EJgUWVc,48.8813247,2.2896613
1809,Chez Karl et Erick,17,,,,,"20 Rue de Tocqueville, 75017 Paris, France",75017,http://karleterick.com/,ChIJaawcpbBv5kcRhpx9Spu28vM,48.8828634,2.3135728
1792,Chicahualco,17,,,,,"77 Rue la Condamine, 75017 Paris, France",75017,https://www.chicahualco.fr/,ChIJw6p5cU1v5kcRnYNJWy2zLNo,48.8844623,2.3195998
1793,Comme Chez Maman,17,,,,,"5 Rue des Moines, 75017 Paris, France",75017,https://comme-chez-maman.com/,ChIJo7MOEK5v5kcRilGQNw2mAKw,48.887646,2.318081
1794,Coretta,17,,,,,"151 bis Rue Cardinet, 75017 Paris, France",75017,https://www.restaurantcoretta.com/,ChIJieM35q5v5kcRSsWWTlMpbA0,48.89058,2.316977
1795,Dessirier,17,,,,,"9 Pl. du Maréchal Juin, 75017 Paris, France",75017,https://www.restaurantdessirier.com/,ChIJxViUKZdv5kcRqbcEd1ZzV80,48.8848129,2.2963494
1796,"ecume, comptoir marin",17,,wine_bar,casual,,"78 R. de Lévis, 75017 Paris, France",75017,https://www.ecume.paris/,ChIJ0WLIgCBv5kcRQhBDkwLE0KU,48.8845363,2.3122881
1797,En bas,17,,,,,"85 Av. des Ternes, 75017 Paris, France",75017,https://www.restaurantenbas.com/,ChIJVyGwRd1v5kcROB04WkRv8Gg,48.8797358,2.2884839
1800,Fagot Paris,17,,"cafe, wine_bar",casual,,"2 Pass. Geffroy-Didelot, 75017 Paris, France",75017,https://www.fagotparis.com/,ChIJnwR1k01v5kcRvMFqRkDqvdA,48.8819471,2.3176414
1801,FanFan,17,,"cafe, wine_bar",casual,,"3 Rue Georges Picquart, 75017 Paris, France",75017,https://www.fanfanlarome.com/,ChIJT3_tDAxv5kcRlW8ZazrV_zU,48.8880903,2.3118801
1863,Figuig,17,,,,,"13 Rue Brey, 75017 Paris, France",75017,https://www.aufiguig.fr/,ChIJLTnjeBpv5kcR8R8F_yv9lAI,48.8764217,2.2956902
1803,Gare au Gorille,17,,,casual,,"68 Rue des Dames, 75017 Paris, France",75017,https://www.gareaugorille.fr/,ChIJAdSBY8tv5kcRM4OHfSBjKZM,48.8835381,2.3199551
1805,Gueuleton - Paris,17,,wine_bar,casual,,"7 Rue Guersant, 75017 Paris, France",75017,https://www.gueuleton.fr/gueuleton-paris,ChIJdUrSUN5v5kcRPJZKuIYRFqo,48.8801444,2.2905045
