Sheet Row Number,Name,Arrondissement,City,Postal Code,Status,Needs Review,Google Place ID,Latitude,Longitude,Exclusion Reasons,Location Concern
129,Wakaze The Restaurant,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
137,Beau Regard,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
139,Emporio Armani Caffè & Armani Ristorante - Paris 6 - Italian,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
142,Forno Gusto,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
148,Chicky,2,Paris,75002,closed,FALSE,ChIJqwFLtnNv5kcRhr3WDoAXX_w,48.8702314,2.3350408,inactive,
153,COYO TACO,2,Paris,75002,closed,FALSE,ChIJ88K-4TZv5kcR7SVaF-evasU,48.8683682,2.3432593,inactive,
154,MARSAN par Hélène Darroze,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
157,Dame Jane,20,Paris,75020,closed,FALSE,ChIJy0K4uOht5kcR8T9wB6LppRM,48.871531,2.3807934,inactive,
173,Freddy's BBQ,2,Paris,75002,closed,FALSE,ChIJVVUF7hlu5kcRCfEk2CabUM8,48.8651952,2.3502532,inactive,
175,Goiko,2,Paris,75002,closed,FALSE,ChIJNbNw9gNv5kcRB4VoSMm1_sE,48.8713673,2.3399283,inactive,
177,Grillé,2,Paris,75002,closed,FALSE,ChIJv_ZX-Dpu5kcR8-ELbt_rsFM,48.8688354,2.3365698,inactive,
179,La Table de Mee,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
183,The Cod House,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
187,Clover by Jean François Piège,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
189,Kult - Le Saint Hotel,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
190,Les Parisiens - Pavillon Faubourg Saint Germain,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
192,Kabul Kitchen,2,Paris,75002,closed,FALSE,ChIJDczzs4Fv5kcRPP_7RpkClcQ,48.8658215,2.350238,inactive,
193,Newtable.com - Guide des nouveaux Restaurants à Paris,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
197,"L'Entente, Le British Brasserie",2,Paris,75002,closed,FALSE,ChIJrW2cYTpu5kcRJmiR0ES-zIs,48.8691392,2.3355104,inactive,
198,L'Oseille,2,Paris,75002,closed,FALSE,ChIJXyl1CDtu5kcR2cbHTZVc8Dw,48.8688311,2.3377927,inactive,
207,Il Sorrentino - Gastronomic Restaurant - Il Sorrentino,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
215,114 Faubourg - Bristol,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
221,Les Bols de Jean,2,Paris,75002,closed,FALSE,ChIJR7I3Xzpu5kcR1-A_zc-kagQ,48.8689438,2.336031,inactive,
227,Café Antonia - Bristol,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
229,Magniv restaurant,2,Paris,75002,closed,FALSE,ChIJfYhlY_9v5kcRf9_9_jbPH3Q,48.870135,2.3463038,inactive,
231,Mama Nissa,2,Paris,75002,closed,FALSE,ChIJ0WhliOtx5kcR6LNfRl-w824,48.8658227,2.3453006,inactive,
233,Restaurant Marcore / Restaurant Marcore l’Étage*,2,Paris,75002,closed,FALSE,ChIJ-bNqBktv5kcRJc6ixHA2vNY,48.8701326,2.3411305,inactive,
236,Café Renault,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
240,Epicure - Bristol,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
242,Il Carpaccio - Royal Monceau,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
243,Motek Restaurant - Cuisine Israélienne-Paris 2,2,Paris,75002,closed,FALSE,ChIJkecDY4lv5kcRguAtoxEjvqk,48.867208,2.3513514,inactive,
244,Juvia,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
251,Pizz'Aria Paris,2,Paris,75002,closed,FALSE,ChIJMR0CX25v5kcRQaIuTe09DfQ,48.8660008,2.3444538,inactive,
256,L'Atelier Etoile de Joël Robuchon,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
257,La Baronne,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
260,Le Collectionneur,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
263,Salatim,2,Paris,75002,closed,FALSE,ChIJA44fLBZu5kcR2ZbHcCfmwnY,48.869109,2.3460155,inactive,
264,Sarra Deli,2,Paris,75002,closed,FALSE,ChIJP-4OBRhu5kcRgCXmIqAr93A,48.8657311,2.3457726,inactive,
270,Sunday In Soho,2,Paris,75002,closed,FALSE,ChIJz5yXA0dv5kcRsfiU6id-Vuc,48.8703012,2.3413885,inactive,
273,Limon - Marignan Champs Elysées,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
281,Matsuhisa - Le Royal Monceau,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
285,Shirvan Café Métisse,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
286,Tosca - Hotel Splendide Royal,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
287,9ème Sauvage,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
290,L’italien de La Belle Époque,2,Paris,75002,closed,FALSE,ChIJfUHkef1v5kcRJYB5-a95rZA,48.8671689,2.3355698,inactive,
306,Atome,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
307,Bagnard by Yoni Saada,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
308,BB,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
314,BB Blanche,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
322,Café de la Poésie,3,Paris,75003,closed,FALSE,ChIJPUXF9gNv5kcRjHgSzEm3pSc,48.862405,2.351322,inactive,
324,Café Ineko,3,Paris,75003,closed,FALSE,ChIJAQBEJwVu5kcRWjJMCK1i5js,48.8635759,2.3572993,inactive,
